title,organization,category,posted_date,closing_date,estimated_value,location,tender_id,url,source
EZ899-270189 Lower Liard River Bridge Stringer Repairs,Department of Public Works and Government Services (PSPC),Construction,2026/06/05,2026/06/16,,British Columbia,WS5729079606,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/ws5729079606-doc5729134354,buyandsell.gc.ca
"Stage 2 - Snowshed Rehabilitation, Glacier National Park",Parks Canada Agency (PC),Construction,2026/06/03,2026/06/18,,"British Columbia , Golden",5P468-26-0026/A,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/cb-639-28024326,buyandsell.gc.ca
Steveston Paramount Maintenance Dredging Services,Department of Fisheries and Oceans (DFO),Construction,2026/04/28,2026/06/15,,"Canada , British Columbia , Richmond",30007415,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/cb-714-81019125,buyandsell.gc.ca
"EZ899-270045 - RCMP - Boat House Roof Remediation - Masset, BC",Department of Public Works and Government Services (PSPC),Construction,2026/05/27,2026/06/11,,"Canada , British Columbia",WS5712158043,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/ws5712158043-doc5715533235,buyandsell.gc.ca
EZ108-260557 – Esquimalt Graving Dock Dock Walls and Seismic Upgrades,Department of Public Works and Government Services (PSPC),Construction,2026/05/29,2026/07/03,,"Canada , British Columbia",WS5689693472,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/ws5689693472-doc5689740356,buyandsell.gc.ca
EZ011-240153 Request for Information – Alaska Highway Maintenance Services,Department of Public Works and Government Services (PSPC),Construction,2026/05/21,2026/07/03,,"Canada , British Columbia",WS5707239533,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/ws5707239533-doc5707260622,buyandsell.gc.ca
Phase 1 F1700-251072 Ivory Island Lightstation Septic System Replacement,Department of Fisheries and Oceans (DFO),Construction,2026/03/12,2026/03/30,,British Columbia,WS5597566621,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/ws5597566621-doc5597684973,buyandsell.gc.ca
EZ899-261170 RFSA – Bridge Engineering Services – Various Locations across BC and Yukon,Department of Public Works and Government Services (PSPC),Services,2026/05/21,2026/06/30,,"British Columbia , Yukon",WS5705662954,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/ws5705662954-doc5705739919,buyandsell.gc.ca
EZ899-261706 - Transportation Engineering and Prime Consultant Services SOA,Department of Public Works and Government Services (PSPC),Services,2026/05/29,2026/07/08,,"British Columbia , Yukon",WS5717726281,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/ws5717726281-doc5718903959,buyandsell.gc.ca
