external_id,address,permit_type,project_value,applicant,issue_date,description,source,city
25-123692-000-00 B7,9572 125 St,New,80500,,2026-04-21,New / Garden Suite,surrey,Surrey
26-015074-000-00 B7,12411 79A Ave,New,551250,,2026-04-21,New / Single Family (Secondary Suite),surrey,Surrey
25-121416-000-00 B7,18948 55A Ave,S/S Created in Finished Area,17688,,2026-04-23,S/S Created in Finished Area / Single Family,surrey,Surrey
25-134095-000-00 B7,16458 92A Ave,Solar Panel Installation,19654,,2026-04-23,Solar Panel Installation / Single Family,surrey,Surrey
25-135630-000-00 B7,12070 76A Ave,New,950000,,2026-04-23,New / Single Family (Secondary Suite),surrey,Surrey
25-135632-000-00 B7,12070 76A Ave,New,150000,,2026-04-23,New / Garden Suite,surrey,Surrey
25-138414-000-00 B7DD,16577 28 Ave,New,895300,"Warwickshire Homes Ltd. Unit 516- 800 15355 24 Ave Surrey, British Columbia, Canada, V4A 2H9",2026-04-23,New / Single Family (Secondary Suite),surrey,Surrey
26-018885-000-00 B7,7344 147A St,Solar Panel Installation,28812,,2026-04-23,Solar Panel Installation / Single Family,surrey,Surrey
25-134237-000-00 B7,16545 25 Ave,Solar Panel Installation,12520,,2026-04-24,Solar Panel Installation / Single Family,surrey,Surrey
25-134239-000-00 B7,16545 25 Ave,Solar Panel Installation,18780,,2026-04-24,Solar Panel Installation / Garage,surrey,Surrey
26-012949-000-00 B7,16850 58A Ave,Solar Panel Installation,15000,,2026-04-24,Solar Panel Installation / Single Family (Secondary Suite),surrey,Surrey
26-017512-000-00 B7,2236 134 St,Renovation,10000,,2026-04-24,Renovation / Single Family,surrey,Surrey
26-018717-000-00 B7,14185 Grosvenor Rd,Solar Panel Installation,21372,,2026-04-24,Solar Panel Installation / Single Family,surrey,Surrey
26-026426-000-00 B7,2566 148 St,Renovation,12000,,2026-04-24,Renovation / Single Family,surrey,Surrey
25-084749-000-00 B7,15771 88 Ave,New,950000,"Mahil Drywall Ltd. 6294 150A St Surrey, British Columbia, Canada, V3S 2H8",2026-04-27,New / Single Family (Secondary Suite),surrey,Surrey
25-118982-000-00 B7,14725 110 Ave,New,950000,,2026-04-27,New / Duplex,surrey,Surrey
25-137642-000-00 B7,6862 151A St,Renovation,3000,,2026-04-27,Renovation / Single Family,surrey,Surrey
25-084756-000-00 B7,15771 88 Ave,New,150000,"Mahil Drywall Ltd. 6294 150A St Surrey, British Columbia, Canada, V3S 2H8",2026-04-28,New / Garden Suite,surrey,Surrey
25-130098-000-00 B7,8466 170 St,S/S Created in Finished Area,29424,,2026-04-28,S/S Created in Finished Area / Single Family (Secondary Suite),surrey,Surrey
26-014576-000-00 B7,15639 18A Ave,Solar Panel Installation,12000,,2026-04-28,Solar Panel Installation / Single Family,surrey,Surrey
24-062887-000-00 B7,11453 142 St,New,968350,,2026-04-30,New / Duplex,surrey,Surrey
25-084020-000-00 B7,14761 68A Ave,New,700000,,2026-04-30,New / Duplex,surrey,Surrey
25-084022-000-00 B7,14761 68A Ave,New,20000,,2026-04-30,New / Accessory Building,surrey,Surrey
25-127542-000-00 B7,14070 114 Ave,New,150000,"Singhco Propertlies Ltd. 16726 40 Ave Surrey, British Columbia, Canada, V3Z 1E5",2026-04-30,New / Garden Suite,surrey,Surrey
24-037495-000-00 B7,5066 176 St,New,350000,,2026-05-01,New / Barn,surrey,Surrey
25-090365-000-00 B7,18045 80 Ave,New,1200000,,2026-05-01,New / Single Family,surrey,Surrey
25-101712-000-00 B7,14888 40 Ave,New,500000,,2026-05-01,New / Barn,surrey,Surrey
25-101987-000-00 B7,12723 24A Ave,New,1300000,"Luxon Homes Ltd 1316 129A St Surrey, British Columbia, Canada, V4A 3Y6",2026-05-01,New / Duplex,surrey,Surrey
25-118172-000-00 B7,12718 Ocean Cliff Dr,Garage to Room,18000,,2026-05-01,Garage to Room / Single Family,surrey,Surrey
25-128417-000-00 B7,12641 26 Ave,Renovation,125500,,2026-05-01,Renovation / Garden Suite,surrey,Surrey
25-105786-000-00 B7,7528 147A St,S/S Created in Finished Area,50000,,2026-05-04,S/S Created in Finished Area / Single Family (Secondary Suite),surrey,Surrey
25-134248-000-00 B7,16495 111 Ave,Addition,1000000,"New Craft Builder Corp. 26019 58 Ave Surrey, British Columbia, Canada, V4W 1K9",2026-05-04,Addition / Single Family,surrey,Surrey
25-136949-000-00 B7,2688 Crescent Dr,Addition,10000,"Habicave Prefab Homes Ltd. Unit 413 16433 19 Ave Surrey, British Columbia, Canada, V3Z 0Z1",2026-05-04,Addition / Single Family,surrey,Surrey
26-023144-000-00 B7DD,17016 92A Ave,New,427620,"Foxridge Homes Unit 310 5620 152 St Surrey, British Columbia, Canada, V3S3K2",2026-05-05,New / Single Family,surrey,Surrey
26-023192-000-00 B7DD,17008 92A Ave,New,445280,"Foxridge Homes Unit 310 5620 152 St Surrey, British Columbia, Canada, V3S3K2",2026-05-05,New / Single Family,surrey,Surrey
25-137945-000-00 B7,14487 58 Ave,Solar Panel Installation,27567,"MAG Solar Inc. 101-7261 River Pl Mission, British Columbia, Canada",2026-05-06,Solar Panel Installation / Single Family,surrey,Surrey
26-021832-000-00 B7,6730 134 St,Solar Panel Installation,56007,"Polaron Energy Corp. Unit 109 13680 Bridgeport Rd Richmond, British Columbia, Canada, V6V 1V3",2026-05-06,Solar Panel Installation / Single Family,surrey,Surrey
26-023813-000-00 B7,9777 123 St,Solar Panel Installation,5000,,2026-05-06,Solar Panel Installation / Single Family,surrey,Surrey
25-119786-000-00 B7,6331 124 St,Solar Panel Installation,14308,,2026-05-11,Solar Panel Installation / Single Family,surrey,Surrey
26-023394-000-00 B7,18915 71 Ave,Solar Panel Installation,11984,"Penfolds Roofing & Solar 2230 Hartley Ave. Coquitlam, British Columbia, Canada, V3K 6X3",2026-05-11,Solar Panel Installation / Single Family,surrey,Surrey
25-092344-000-00 B7,8826 140A St,New,900000,,2026-05-13,New / Single Family (Secondary Suite),surrey,Surrey
25-127623-000-00 B7,16779 21 Ave,New,750000,Woodcrest Homes Limited 12460 New Mclellan Rd Surrey,2026-05-13,New / Duplex,surrey,Surrey
25-127625-000-00 B7,16779 21 Ave,New,150000,"Woodcrest Homes Ltd 12460 New Mclellan Rd Surrey, British Columbia, Canada",2026-05-13,New / Coach House / Garage,surrey,Surrey
25-117092-000-00 B7,1439 164 St,New,850000,,2026-05-14,New / Single Family (Secondary Suite),surrey,Surrey
25-118244-000-00 B7,13442 98 Ave,S/S Created in Finished Area,14064,,2026-05-14,S/S Created in Finished Area / Single Family (Secondary Suite),surrey,Surrey
25-128106-000-00 B7,5792 185 St,New,153625,"Alpha West Homes Inc. Unit 210 12837 76 Ave Surrey, British Columbia, Canada, V3W2V3",2026-05-14,New / Garden Suite,surrey,Surrey
26-015383-000-00 B7,12545 Ocean Forest Pl,Renovation,235000,,2026-05-14,Renovation / Single Family,surrey,Surrey
26-021681-000-00 B7,6298 187 St,New,100000,"Azuro Concepts Inc. Unit 226 15355 24 Ave Surrey, British Columbia, Canada",2026-05-15,New / Swimming Pool,surrey,Surrey
25-136078-000-00 B7,9905 132A St,New,161000,,2026-05-19,New / Garden Suite,surrey,Surrey
25-105640-000-00 B7,17571 48 Ave,Solar Panel Installation,33331,,2026-05-20,Solar Panel Installation / Barn,surrey,Surrey
26-020682-000-00 B7,15443 36B Ave,Basement/Room Finishing,75000,,2026-05-20,Basement/Room Finishing / Single Family,surrey,Surrey
25-094014-000-00 B7,12847 64A Ave,New,45000,,2026-05-22,New / Accessory Building,surrey,Surrey
25-099020-000-00 B7,5851 132 St,New,800000,,2026-05-22,New / Duplex,surrey,Surrey
25-099594-000-00 B7,5110 160 St,Addition,180000,,2026-05-22,Addition / Single Family,surrey,Surrey
25-110780-000-00 B7,6033 186 St,New,769570,,2026-05-22,New / Single Family (Secondary Suite),surrey,Surrey
26-013186-000-00 B7,9667 155 St,Addition,23935,,2026-05-22,Addition / Single Family,surrey,Surrey
26-015008-000-00 B7,13752 56 Ave,New,10000,"Red Tree Homes 5676 125 St Surrey, British Columbia, Canada, V2X 0A5",2026-05-22,New / Accessory Building,surrey,Surrey
26-017677-000-00 B7,12458 78A Ave,Solar Panel Installation,26567,"Shift Energy Group Victoria, British Columbia, Canada",2026-05-22,Solar Panel Installation / Single Family,surrey,Surrey
26-019632-000-00 B7,19126 70 Ave,S/S Created in Finished Area,21072,,2026-05-22,S/S Created in Finished Area / Single Family,surrey,Surrey
26-027077-000-00 B7,12747 20 Ave,Solar Panel Installation,40176,,2026-05-22,Solar Panel Installation / Single Family,surrey,Surrey
25-104494-000-00 B7,12519 60 Ave,New,1000000,,2026-05-26,New / Single Family (Secondary Suite),surrey,Surrey
25-111672-000-00 B7,11361 Lansdowne Dr,New,887010,,2026-05-27,New / Single Family (Secondary Suite),surrey,Surrey
26-021669-000-00 B7,18306 55 Ave,Addition,35000,,2026-05-27,Addition / Single Family,surrey,Surrey
25-129154-000-00 B7,15469 19 Ave,New,800000,,2026-05-28,New / Single Family (Secondary Suite),surrey,Surrey
26-020603-000-00 B7,9868 181 St,Renovation,10000,,2026-05-28,Renovation / Single Family,surrey,Surrey
24-023145-000-00 B7,4204 176 St,New,750000,,2026-05-29,New / Single Family,surrey,Surrey
25-117994-000-00 B7DD,17028 92A Ave,New,427650,"Foxridge Homes Unit 310 5620 152 St Surrey, British Columbia, Canada, V3S3K2",2026-05-29,New / Single Family (Secondary Suite),surrey,Surrey
25-128246-000-00 B7,15309 21 Ave,New,300000,"Square One Investment 205 1678 128 St Surrey, British Columbia, Canada, V4A 3V3",2026-05-29,New / Garden Suite,surrey,Surrey
25-129424-000-00 B7,14530 55 Ave,Solar Panel Installation,10000,"Suntech Solar Solutions Inc. 11638 88 Ave Delta, British Columbia, Canada",2026-05-29,Solar Panel Installation / Single Family (Secondary Suite),surrey,Surrey
26-013578-000-00 B7,12463 79A Ave,Fire Damage Repair,7000,,2026-05-29,Fire Damage Repair / Single Family,surrey,Surrey
26-015790-000-00 B7,12463 79A Ave,S/S Created in Finished Area,16032,,2026-05-29,S/S Created in Finished Area / Single Family,surrey,Surrey
25-129010-000-00 B7,15653 18 Ave,New,800000,,2026-06-02,New / Single Family,surrey,Surrey
25-129013-000-00 B7,15653 18 Ave,New,185000,,2026-06-02,New / Garden Suite,surrey,Surrey
26-022798-000-00 B7,16701 15A Ave,Solar Panel Installation,39000,"Vancouver Solar & Electrical Ltd. #900 2025 Willingdon Ave Burnaby, British Columbia, Canada, V5J 0J3",2026-06-02,Solar Panel Installation / Single Family,surrey,Surrey
26-015612-000-00 B7,15355 80A Ave,S/S Created in Finished Area,20000,"IDesign Homes 20626 Grade Crescent Langley, British Columbia, Canada, V3A 4K3",2026-06-03,S/S Created in Finished Area / Single Family,surrey,Surrey
25-131122-000-00 B7,13397 61A Ave,Solar Panel Installation,17500,"Solar Panel Store Canada Ltd. Unit 11 102 Commerce Park Drive Barrie, ON, Canada, L4N 8W8",2026-06-05,Solar Panel Installation / Single Family,surrey,Surrey
26-012858-000-00 B7,15158 86B Ave,New,999405,,2026-06-05,New / Single Family (Secondary Suite),surrey,Surrey
26-025050-000-00 B7,1671 135A St,Renovation,85000,"MY HOUSE DESIGN/BUILD TEAM LTD 160 19929 84 Ave Surrey, British Columbia, Canada, V2Y3Y8",2026-06-05,Renovation / Single Family,surrey,Surrey
26-012078-000-00 B7,14966 84 Ave,New,675585,,2026-06-07,New / Duplex,surrey,Surrey
26-012140-000-00 B7,14966 84 Ave,New,300000,,2026-06-07,New / Garage,surrey,Surrey
25-126011-000-00 B7,1858 144A St,New,1300000,,2026-06-08,New / Single Family,surrey,Surrey
25-138071-000-00 B7,15867 107A Ave,New,855200,,2026-06-09,New / Single Family (Secondary Suite),surrey,Surrey
26-017526-000-00 B7,14778 71A Ave,New,775000,"1321597 BC LTD 6874 Helston Cr Surrey, British Columbia, Canada, V3W 6H4",2026-06-09,New / Duplex,surrey,Surrey
26-020108-000-00 B7,13318 56 Ave,Solar Panel Installation,6000,"Ready Solar Inc. 7625 Sapperton Ave. Burnaby, British Columbia, Canada, V3N4C9",2026-06-09,Solar Panel Installation / Single Family,surrey,Surrey
26-022427-000-00 B7,1490 160A St,Renovation,140000,"SURF Architecture Suite 304 1493 Foster Street White Rock, British Columbia, Canada, V4B 0C4",2026-06-09,Renovation / Single Family,surrey,Surrey
26-011722-000-00 B7,6196 131A St,New,706945,,2026-06-10,New / Duplex,surrey,Surrey
26-011723-000-00 B7,6196 131A St,New,201625,,2026-06-10,New / Garden Suite,surrey,Surrey
26-022597-000-00 B7,10326 124A St,Fire Damage Repair,94000,"On Side Restoration 103 9780 188 St Surrey, British Columbia, Canada, V4N 4W9",2026-06-10,Fire Damage Repair / Single Family,surrey,Surrey
26-030858-000-00 B7,9870 Huckleberry Dr,Solar Panel Installation,22194,"Polaron Energy Corp. 13680 Bridgeport Road Richmond, British Columbia, Canada, V6V 1V3",2026-06-10,Solar Panel Installation / Single Family,surrey,Surrey
25-096882-000-00 B7,10112 129 St,New,950000,"Samra Properties Ltd 9268 123A St Surrey, British Columbia, Canada, V3V6X8",2026-06-11,New / Duplex,surrey,Surrey
25-096883-000-00 B7,10112 129 St,New,100125,"Samra Properties Ltd 9268 123A St Surrey, British Columbia, Canada, V3V6X8",2026-06-11,New / Garden Suite,surrey,Surrey
25-096884-000-00 B7,10112 129 St,New,100125,"Samra Properties Ltd 9268 123A St Surrey, British Columbia, Canada, V3V6X8",2026-06-11,New / Garden Suite,surrey,Surrey
