external_id,address,permit_type,project_value,applicant,issue_date,description,source,city
25-109396-000-00 B7DD,9258 Bothwell Dr,New,434025,"Foxridge Homes Unit 310 5620 152 St Surrey, British Columbia, Canada, V3S3K2",2026-01-30,New / Single Family (Secondary Suite),surrey,Surrey
25-110996-000-00 B7,11441 Millar Rd,New,700000,,2026-01-30,New / Single Family (Secondary Suite),surrey,Surrey
25-130042-000-00 B7,12777 Ocean Cliff Dr,Addition,73500,,2026-01-30,Addition / Single Family,surrey,Surrey
25-130378-000-00 B7,9985 173B St,Renovation,8000,,2026-01-30,Renovation / Single Family,surrey,Surrey
24-063635-000-00 B7,12593 115 Ave,New,800000,,2026-02-02,New / Single Family,surrey,Surrey
25-084511-000-00 B7,15158 73B Ave,New,1000000,,2026-02-03,New / Single Family (Secondary Suite),surrey,Surrey
25-105065-000-00 B7,13770 90 Ave,New,1100000,,2026-02-03,New / Single Family (Secondary Suite),surrey,Surrey
25-114545-000-00 B7,1549 161 St,New,900000,,2026-02-03,New / Duplex,surrey,Surrey
25-117037-000-00 B7,1423 164 St,New,850000,,2026-02-03,New / Single Family (Secondary Suite),surrey,Surrey
25-117038-000-00 B7,1423 164 St,New,130000,,2026-02-03,New / Garden Suite,surrey,Surrey
25-011412-000-00 B7,6253 181A St,New,902860,"1346275 BC Ltd 16691 63 Ave Surrey, British Columbia, Canada, V3S9L6",2026-02-04,New / Single Family (Secondary Suite),surrey,Surrey
25-092405-000-00 B7,17432 2 Ave,S/S Created in Finished Area,40000,,2026-02-04,S/S Created in Finished Area / Single Family (Secondary Suite),surrey,Surrey
25-117405-000-00 B7,13790 23 Ave,Addition,100000,,2026-02-04,Addition / Single Family (Secondary Suite),surrey,Surrey
25-120797-000-00 B7,13741 111 Ave,Addition,205000,"1515736 BC Ltd Unit 71 27735 Roundhouse Dr Abbotsford, British Columbia, Canada, V4X 0B9",2026-02-04,Addition / Single Family,surrey,Surrey
25-125629-000-00 B7,7755 148 St,New,300000,,2026-02-04,New / Garden Suite,surrey,Surrey
25-133592-000-00 B7,16576 59A Ave,S/S Created in Unfinished Area,18500,,2026-02-04,S/S Created in Unfinished Area / Single Family (Secondary Suite),surrey,Surrey
25-135976-000-00 B7,12994 112 Ave,Solar Panel Installation,31000,"Sukhpaul Parmar (Ready Solar Corp) 7625 Sapperton Ave. Burnaby, British Columbia, Canada, V3N4C9",2026-02-04,Solar Panel Installation / Single Family (Secondary Suite),surrey,Surrey
25-084433-000-00 B7,10999 Partridge Cr,New,105375,,2026-02-05,New / Garden Suite,surrey,Surrey
25-129096-000-00 B7,16958 103A Ave,S/S Created in Unfinished Area,50556,"Leeson Engineering Inc. 1545 W 75th Ave Vancouver, British Columbia, Canada, V6P 6Z7",2026-02-06,S/S Created in Unfinished Area / Single Family (Secondary Suite),surrey,Surrey
25-136253-000-00 B7,15633 91A Ave,Addition,28260,,2026-02-06,Addition / Single Family,surrey,Surrey
25-101773-000-00 B7,17012 62 Ave,New,1000000,"Kesri Enterprises LTD 2321 172 St Surrey, British Columbia, Canada, V3Z",2026-02-08,New / Duplex,surrey,Surrey
25-086068-000-00 B7,14525 86A Ave,New,700000,,2026-02-09,New / Single Family (Secondary Suite),surrey,Surrey
25-086074-000-00 B7,14525 86A Ave,New,200000,,2026-02-09,New / Garden Suite,surrey,Surrey
25-129393-000-00 B7,12690 27A Ave,New,200000,,2026-02-09,New / Swimming Pool,surrey,Surrey
25-132002-000-00 B7,14349 65 Ave,Solar Panel Installation,17802,"Polaron Energy Corp. Unit 109 13680 Bridgeport Rd Richmond, British Columbia, Canada, V6V 1V3",2026-02-09,Solar Panel Installation / Single Family,surrey,Surrey
23-032738-000-00 B7DD,13072 24 Ave,New,974915,,2026-02-10,New / Single Family (Secondary Suite),surrey,Surrey
23-032738-001-00 B7DD,13072 24 Ave,New,104750,,2026-02-10,New / Garden Suite,surrey,Surrey
25-137329-000-00 B7,17745 68 Ave,Renovation,12000,,2026-02-10,Renovation / Single Family (Secondary Suite),surrey,Surrey
25-137373-000-00 B7,9657 161A St,New,900000,"Rashpal Singh Padda and RRA New Homes Ltd 5518 183A St Surrey, British Columbia, Canada, V3S 7Z3",2026-02-10,New / Duplex,surrey,Surrey
25-138306-000-00 B7,18083 74 Ave,New,24000,"Smart Farms Ltd Unit 1 13018 84 Ave Surrey, British Columbia, Canada, V3W 1L2",2026-02-10,New / Accessory Building,surrey,Surrey
25-127626-000-00 B7DD,7665 156A St,New,850000,"Raav Homes Ltd. Unit 204 7565 132 St Surrey, British Columbia, Canada, V3W 1K5",2026-02-11,New / Single Family (Secondary Suite),surrey,Surrey
25-132107-000-00 B7,2884 128 St,New,800000,,2026-02-11,New / Single Family (Secondary Suite),surrey,Surrey
25-132110-000-00 B7,2884 128 St,New,185000,,2026-02-11,New / Garden Suite,surrey,Surrey
25-137650-000-00 B7,16724 16A Ave,Solar Panel Installation,28445,,2026-02-11,Solar Panel Installation / Single Family,surrey,Surrey
25-098968-000-00 B7,16702 20 Ave,New,700000,,2026-02-12,New / Duplex,surrey,Surrey
25-098969-000-00 B7,16702 20 Ave,New,100000,,2026-02-12,New / Garage,surrey,Surrey
25-101778-000-00 B7,17012 62 Ave,New,106200,"Kesri Enterprises LTD 2321 172 St Surrey, British Columbia, Canada, V3Z",2026-02-12,New / Coach House / Garage,surrey,Surrey
25-116459-000-00 B7,13843 16 Ave,New,850000,,2026-02-12,New / Duplex,surrey,Surrey
25-116460-000-00 B7,13843 16 Ave,New,50000,,2026-02-12,New / Garage,surrey,Surrey
25-111550-000-00 B7DD,17022 92A Ave,New,453720,"Foxridge Homes Unit 310 5620 152 St Surrey, British Columbia, Canada, V3S3K2",2026-02-13,New / Single Family (Secondary Suite),surrey,Surrey
25-133595-000-00 B7,13834 18A Ave,Renovation,200000,,2026-02-13,Renovation / Single Family,surrey,Surrey
24-018793-000-00 B7,3638 156A St,Basement/Room Finishing,60000,"Tong Ngo Engineering Associates Ltd. Unit 204 15315 66 Ave Surrey, British Columbia, Canada, V3S 2A1",2026-02-18,Basement/Room Finishing / Single Family,surrey,Surrey
25-122898-000-00 B7,14331 66A Ave,New,900000,,2026-02-18,New / Duplex,surrey,Surrey
25-122900-000-00 B7,14331 66A Ave,New,200000,,2026-02-18,New / Garden Suite,surrey,Surrey
25-133977-000-00 B7,14121 30A Ave,Renovation,85000,,2026-02-18,Renovation / Single Family,surrey,Surrey
25-129005-000-00 B7,9256 163A St,Basement/Room Finishing,30380,,2026-02-19,Basement/Room Finishing / Single Family,surrey,Surrey
22-014769-000-00 B7,14605 Southview Dr,New,5000,,2026-02-20,New / Retaining Wall,surrey,Surrey
25-109035-000-00 B7,13927 64 Ave,New,368095,,2026-02-20,New / Single Family (Secondary Suite),surrey,Surrey
25-109522-000-00 B7,13929 64 Ave,New,370045,,2026-02-20,New / Single Family (Secondary Suite),surrey,Surrey
25-123094-000-00 B7,6360 188 St,Solar Panel Installation,26822,"Polaron Energy Corp. 13680 Bridgeport Road Richmond, British Columbia, Canada, V6V 1V3",2026-02-20,Solar Panel Installation / Single Family,surrey,Surrey
25-110843-000-00 B7,17592 102A Ave,New,700000,,2026-02-23,New / Single Family (Secondary Suite),surrey,Surrey
25-119117-000-00 B7,10155 Mary (125A St) Dr,Solar Panel Installation,8000,"604-GO-SOLAR INC Unit C130 6286 203 St Surrey, British Columbia, Canada, V2Y 3S1",2026-02-23,Solar Panel Installation / Single Family (Secondary Suite),surrey,Surrey
25-119387-000-00 B7,1367 161B St,Addition,125000,,2026-02-23,Addition / Single Family,surrey,Surrey
25-012319-000-00 B7,5841 132 St,New,773055,,2026-02-24,New / Single Family (Secondary Suite),surrey,Surrey
25-108977-000-00 B7,13935 64 Ave,New,251105,,2026-02-24,New / Single Family (Secondary Suite),surrey,Surrey
25-110601-000-00 B7,13937 64 Ave,New,374465,,2026-02-24,New / Single Family (Secondary Suite),surrey,Surrey
25-130037-000-00 B7,12355 21A Ave,S/S Created in Finished Area,100000,,2026-02-24,S/S Created in Finished Area / Single Family,surrey,Surrey
25-132464-000-00 B7,9470 127 St,New,100000,,2026-02-24,New / Accessory Building,surrey,Surrey
25-090674-000-00 B7,6175 190 St,New,692620,,2026-02-25,New / Duplex,surrey,Surrey
25-090676-000-00 B7,6175 190 St,New,116000,,2026-02-25,New / Garden Suite,surrey,Surrey
25-129616-000-00 B7,5689 125A St,Addition,125000,"Sayers Contracting Ltd 24426 58A Ave Langley, British Columbia, Canada, V2Z 1G7",2026-02-25,Addition / Single Family,surrey,Surrey
